PropertySize,LivingArea,YearBuilt,Bedrooms,Price
0,8450,1710,2003,3,208500
1,9600,1262,1976,3,181500
2,11250,1786,2001,3,223500
3,9550,1717,1915,3,140000
4,14260,2198,2000,4,250000
5,14115,1362,1993,1,143000
6,10084,1694,2004,3,307000
7,10382,2090,1973,3,200000
8,6120,1774,1931,2,129900
9,7420,1077,1939,2,118000
10,11200,1040,1965,3,129500
11,11924,2324,2005,4,345000
12,12968,912,1962,2,144000
13,10652,1494,2006,3,279500
14,10920,1253,1960,2,157000
15,6120,854,1929,2,132000
16,11241,1004,1970,2,149000
17,10791,1296,1967,2,90000
18,13695,1114,2004,3,159000
19,7560,1339,1958,3,139000
20,14215,2376,2005,4,325300
21,7449,1108,1930,3,139400
22,9742,1795,2002,3,230000
23,4224,1060,1976,3,129900
24,8246,1060,1968,3,154000
25,14230,1600,2007,3,256300
26,7200,900,1951,3,134800
27,11478,1704,2007,3,306000
28,16321,1600,1957,2,207500
29,6324,520,1927,1,68500
30,8500,1317,1920,3,40000
31,8544,1228,1966,3,149350
32,11049,1234,2007,3,179900
33,10552,1700,1959,4,165500
34,7313,1561,2005,2,277500
35,13418,2452,2004,4,309000
36,10859,1097,1994,3,145000
37,8532,1297,1954,3,153000
38,7922,1057,1953,3,109000
39,6040,1152,1955,2,82000
40,8658,1324,1965,3,160000
41,16905,1328,1959,2,170000
42,9180,884,1983,2,144000
43,9200,938,1975,3,130250
44,7945,1150,1959,3,141000
45,7658,1752,2005,2,319900
46,12822,2149,2003,1,239686
47,11096,1656,2006,3,249700
48,4456,1452,1920,2,113000
49,7742,955,1966,3,127000
50,13869,1470,1997,3,177000
51,6240,1176,1934,3,114500
52,8472,816,1963,2,110000
54,7134,1360,1955,3,130000
55,10175,1425,1964,3,180500
56,2645,1739,1999,3,172500
57,11645,1720,2004,3,196500
58,13682,2945,2006,3,438780
59,7200,780,1972,2,124900
60,13072,1158,2004,3,158000
61,7200,1111,1920,3,101000
62,6442,1370,2006,2,202500
63,10300,1710,1921,3,140000
64,9375,2034,1997,3,219500
65,9591,2473,2004,4,317000
66,19900,2207,1970,3,180000
67,10665,1479,2003,3,226000
68,4608,747,1945,2,80000
69,15593,2287,1953,3,225000
70,13651,2223,1973,3,244000
71,7599,845,1982,2,129500
72,10141,1718,1998,3,185000
73,10200,1086,1954,3,144900
74,5790,1605,1915,3,107400
75,1596,988,1973,2,91000
76,8475,952,1956,2,135750
77,8635,1285,1948,2,127000
78,10778,1768,1968,4,136500
79,10440,1230,1910,2,110000
80,13000,2142,1968,4,193500
81,4500,1337,1998,2,153500
82,10206,1563,2007,3,245000
83,8892,1065,1960,3,126500
84,8530,1474,1995,3,168500
85,16059,2417,1991,4,260000
86,11911,1560,2005,3,174000
87,3951,1224,2009,2,164500
88,8470,1526,1915,2,85000
89,8070,990,1994,3,123600
90,7200,1040,1950,2,109900
91,8500,1235,1961,2,98600
92,13360,964,1921,2,163500
93,7200,2291,1910,4,133900
94,9337,1786,1997,3,204750
95,9765,1470,1993,3,185000
96,10264,1588,1999,3,214000
97,10921,960,1965,3,94750
98,10625,835,1920,2,83000
99,9320,1225,1959,3,128950
100,10603,1610,1977,3,205000
101,9206,1732,1985,3,178000
102,7018,1535,1979,4,118964
103,10402,1226,2009,3,198900
104,7758,1818,1931,4,169500
105,9375,1992,2003,3,250000
106,10800,1047,1885,2,100000
107,6000,789,1948,2,115000
108,8500,1517,1919,3,115000
109,11751,1844,1977,3,190000
110,9525,1855,1954,4,136900
111,7750,1430,2000,3,180000
112,9965,2696,2007,4,383970
113,21000,2259,1953,3,217000
114,7259,2320,1945,3,259500
115,3230,1458,1999,2,176000
116,11616,1092,1962,3,139000
117,8536,1125,2006,2,155000
118,12376,3222,1990,5,320000
119,8461,1456,2005,3,163990
120,21453,988,1969,1,180000
121,6060,1123,1939,3,100000
122,9464,1080,1958,3,136000
123,7892,1199,1993,2,153900
124,17043,1586,1979,3,181000
125,6780,754,1935,2,84500
126,4928,958,1976,2,128000
127,4388,840,1930,3,87000
128,7590,1348,1966,3,155000
129,8973,1053,1958,3,150000
130,14200,2157,1966,4,226000
131,12224,2054,2000,3,244000
132,7388,1327,1959,3,150750
133,6853,1296,2001,2,220000
134,10335,1721,1968,3,180000
135,10400,1682,1970,3,174000
136,10355,1214,1967,3,143000
137,11070,1959,1988,5,171000
138,9066,1852,1999,3,230000
139,15426,1764,1997,3,231500
140,10500,864,1971,3,115000
141,11645,1734,2005,3,260000
142,8520,1385,1952,4,166000
143,10335,1501,1999,3,204000
144,9100,1728,1963,6,125000
145,2522,1709,2004,3,130000
146,6120,875,1931,2,105000
147,9505,2035,2001,3,222500
148,7500,1080,2004,3,141000
149,6240,1344,1936,3,115000
150,10356,969,1975,3,122000
151,13891,1710,2007,2,372402
152,14803,1993,1971,4,190000
153,13500,1252,1960,1,235000
154,11340,1200,1923,4,125000
155,9600,1096,1924,2,79000
156,7200,1040,1950,2,109500
157,12003,1968,2009,4,269500
158,12552,1947,2004,3,254900
159,19378,2462,2005,4,320000
160,11120,1232,1984,3,162500
161,13688,2668,2003,3,412500
162,12182,1541,2005,3,220000
163,5500,882,1956,1,103200
164,5400,1616,1926,3,152000
165,10106,1355,1940,4,127500
166,10708,1867,1955,2,190000
167,10562,2161,2007,3,325624
168,8244,1720,2004,3,183500
169,16669,1707,1981,2,228000
170,12358,1382,1941,2,128500
171,31770,1656,1960,3,215000
172,5306,1767,1987,2,239000
173,10197,1362,1961,3,163000
174,12416,1651,1986,3,184000
175,12615,2158,1950,4,243000
176,10029,2060,1988,4,211000
177,13650,1920,1958,4,172500
178,17423,2234,2008,1,501837
179,8520,968,1923,2,100000
180,2117,1525,2000,3,177000
181,7588,1802,1920,4,200100
182,9060,1340,1957,3,120000
183,11426,2082,2003,3,200000
184,7438,1252,1908,3,127000
185,22950,3608,1892,4,475000
186,9947,1217,1990,3,173000
187,10410,1656,1916,3,135000
188,7018,1224,1979,2,153337
190,10570,2727,1932,3,315000
191,7472,1479,1972,4,184000
192,9017,1431,1999,3,192000
193,2522,1709,2004,3,130000
194,7180,864,1972,3,127000
195,2280,1456,1976,3,148500
196,9416,1726,2007,3,311872
197,25419,3112,1918,4,235000
198,5520,2229,1912,5,104000
199,9591,1713,2004,3,274900
200,8546,1121,2003,2,140000
201,10125,1279,1977,3,171500
202,7000,1310,1924,2,112000
203,4438,848,2004,1,149000
204,3500,1284,1947,2,110000
205,11851,1442,1990,3,180500
206,13673,1696,1962,3,143900
207,12493,1100,1960,3,141000
208,14364,2062,1988,3,277000
209,8250,1092,1964,3,145000
210,5604,864,1925,2,98000
211,10420,1212,2009,3,186000
212,8640,1852,2009,3,252678
213,13568,990,1995,3,156000
214,10900,1392,1977,3,161750
215,10011,1236,1957,2,134450
216,8450,1436,2004,3,210000
217,9906,1328,1925,3,107000
218,15660,1954,1939,3,311500
219,3010,1248,2005,2,167240
220,8990,1498,2006,2,204900
221,8068,2267,2002,4,200000
222,11475,1552,1975,3,179900
223,10500,864,1971,2,97000
224,13472,2392,2003,3,386250
225,1680,1302,1971,3,112000
226,9950,2520,1995,4,290000
227,1869,987,1970,2,106000
228,8521,912,1967,3,125000
229,3182,1555,2005,2,192500
230,8760,1194,1959,3,148000
231,15138,2794,1995,4,403000
232,1680,987,1972,2,94500
233,10650,894,1976,3,128200
234,7851,1960,2002,4,216500
235,1680,987,1971,2,89500
236,8773,1414,2004,3,185500
237,9453,1744,1993,3,194500
238,12030,1694,2007,3,318000
239,8741,1487,1945,3,113000
240,9000,1566,2008,3,262500
241,3880,866,1945,2,110500
242,5000,1440,1900,3,79000
243,10762,1217,1980,3,120000
244,8880,2110,1994,3,205000
245,10400,1872,1988,3,241500
246,9142,1928,1910,4,137000
247,11310,1375,1954,2,140000
248,11317,1668,2003,3,180000
249,159000,2144,1958,4,277000
250,5350,1306,1940,3,76500
251,4750,1625,2006,2,235000
252,8366,1640,2004,3,173000
253,9350,1302,1964,3,158000
254,8400,1314,1957,3,145000
255,8738,2291,1999,4,230000
256,8791,1728,2003,3,207500
257,8814,1604,2006,3,220000
258,12435,1792,2001,3,231500
259,12702,882,1956,2,97000
260,19296,1382,1962,3,176000
261,9588,2574,2007,3,276000
262,8471,1212,1977,3,151000
263,5500,1316,1929,3,130000
264,5232,764,1925,2,73000
265,12090,1422,1981,3,175500
266,11207,1511,1997,3,185000
267,8400,2192,1939,4,179500
268,6900,778,1940,2,120500
269,7917,1113,1976,3,148000
270,10728,1939,2006,3,266000
271,39104,1363,1954,2,241500
272,11764,2270,1999,4,290000
273,9600,1632,1958,3,139000
274,8314,816,1982,2,124500
275,7264,1548,1925,3,205000
276,9196,1560,2003,3,201000
277,19138,864,1951,2,141000
278,14450,2121,2006,3,415298
279,10005,2022,1977,4,192000
280,11287,1982,1989,3,228500
281,7200,1262,2006,2,185000
282,5063,1314,2007,2,207500
283,9612,1468,2008,3,244600
284,8012,1575,1992,2,179200
285,4251,1250,2006,2,164700
286,9786,1734,1962,3,159000
287,8125,858,1971,3,88000
288,9819,900,1967,3,122000
289,8730,1396,1915,3,153575
290,15611,1919,2006,3,233230
291,5687,1716,1912,6,135900
292,11409,1716,1949,3,131000
293,16659,2263,1977,3,235000
294,9600,1644,1953,3,167000
295,7937,1003,1984,3,142500
296,13710,1558,1950,4,152000
297,7399,1950,1997,3,239000
298,11700,1743,1968,3,175000
299,14000,1152,1950,3,158500
300,15750,1336,1953,2,157000
301,16226,2452,1998,4,267000
302,13704,1541,2001,3,205000
303,9800,894,1972,3,149900
304,18386,3493,1880,3,295000
305,10386,2000,2004,3,305900
306,13474,2243,1990,4,225000
307,7920,1406,1920,3,89500
308,12342,861,1940,1,82500
309,12378,1944,2003,3,360000
310,7685,1501,1993,3,165600
311,8000,972,1948,2,132000
312,7800,1118,1939,3,119900
313,215245,2036,1965,3,375000
314,9600,1641,1925,3,178000
315,7795,1432,2004,3,188500
316,13005,2353,1980,4,260000
317,9000,1959,2006,3,270000
318,9900,2646,1993,4,260000
319,14115,1472,1980,3,187500
320,16259,2596,2006,4,342643
321,12099,2468,2004,4,354000
322,10380,2730,1986,4,301000
323,5820,1163,1955,3,126175
324,11275,2978,1967,5,242000
325,5000,803,1941,2,87000
326,10846,1719,1993,1,324000
327,11600,1383,1960,3,145250
328,11888,2134,1916,5,214500
329,6402,1192,1920,3,78000
330,10624,1728,1964,6,119000
331,8176,1056,1958,3,139000
332,10655,1629,2003,3,284000
333,8198,1358,2004,2,207000
334,9042,1638,1998,3,192000
335,164660,1786,1965,3,228950
336,14157,1922,2005,3,377426
337,9135,1536,2002,3,214000
338,14145,1621,1984,3,202500
339,12400,1215,1958,3,155000
340,14191,1908,2002,4,202900
341,8400,841,1950,2,82000
342,8544,1040,1949,2,87500
343,8849,1684,2005,2,266000
344,2592,1112,1976,3,85000
345,6435,1577,1939,3,140200
346,12772,958,1960,2,151500
347,17600,1478,1960,3,157500
348,2448,1626,2003,2,154000
349,20431,2728,2005,4,437154
350,7820,1869,2007,2,318061
351,5271,1453,1986,2,190000
352,9084,1111,1941,3,95000
353,8520,720,1928,2,105900
354,8400,1595,1940,2,140000
355,11249,1200,1995,3,177500
356,9248,1167,1992,3,173000
357,4224,1142,1976,3,134000
358,6930,1352,1958,3,130000
359,12011,1924,1998,3,280000
360,7540,912,1978,2,156000
361,9144,1505,1940,3,145000
362,7301,1922,2003,4,198500
363,1680,987,1972,2,118000
364,18800,1574,1976,3,190000
365,10690,1344,1920,3,147000
366,9500,1394,1963,3,159000
367,9150,1431,1962,3,165000
368,7800,1268,1954,2,132000
369,9830,1287,1959,3,162000
370,8121,1664,2000,3,172400
371,17120,1588,1959,4,134432
372,7175,752,1984,2,125000
373,10634,1319,1953,3,123000
374,8200,1928,2003,4,219500
375,10020,904,1922,1,61000
376,8846,914,1996,2,148000
377,11143,2466,2004,4,340000
378,11394,1856,2010,1,394432
379,8123,1800,2000,3,179000
380,5000,1691,1924,3,127000
381,7200,1301,2006,2,187750
382,9245,1797,2006,3,213500
383,9000,784,1928,2,76000
384,53107,1953,1992,3,240000
385,3182,1269,2004,2,192000
386,8410,1184,1910,5,81000
387,7200,1125,1976,3,125000
388,9382,1479,1999,3,191000
389,12474,2332,2007,3,426000
390,8405,1367,1900,4,119000
391,12209,1961,2001,3,215000
392,8339,882,1959,3,106500
393,7446,788,1941,2,100000
394,10134,1034,1940,2,109000
395,9571,1144,1956,3,129000
396,7200,894,1972,2,123000
397,7590,1812,1962,4,169500
398,8967,1077,1920,2,67000
399,8125,1550,2006,2,241000
400,14963,1288,1996,1,245500
401,8767,1310,2005,3,164990
402,10200,672,1940,2,108000
403,12090,2263,1998,4,258000
404,10364,1572,1995,3,168000
405,9991,1620,1976,3,150000
406,10480,1639,1936,3,115000
407,15576,1680,1915,4,177000
408,14154,2172,2006,3,280000
409,10800,2078,2007,3,339750
410,9571,1276,1958,3,60000
411,34650,1056,1955,3,145000
412,4403,1478,2009,2,222000
413,8960,1028,1927,2,115000
414,11228,2097,1993,3,228000
415,8899,1340,2007,3,181134
416,7844,1400,1978,3,149500
417,22420,2624,1918,4,239000
418,8160,1134,1940,3,126000
419,8450,1056,1968,3,142000
420,7060,1344,1997,2,206300
421,16635,1602,1977,3,215000
422,21750,988,1954,2,113000
423,9200,2630,1998,4,315000
424,9000,1196,1956,2,139000
425,3378,1389,1946,3,135000
426,12800,1644,1989,2,275000
427,8593,907,1957,3,109008
428,6762,1208,2007,2,195400
429,11457,1412,1988,3,175000
430,1680,987,1971,2,85400
431,5586,1198,1920,4,79900
432,1920,1365,1971,2,122500
433,10839,1604,1997,3,181000
434,1890,630,1972,1,81000
435,10667,1661,1996,3,212000
436,4400,1118,1920,2,116000
437,6000,904,1926,2,119000
438,4280,694,1913,2,90350
439,12354,1196,1920,3,110000
440,15431,2402,2008,2,555000
441,12108,1440,1955,4,118000
442,6240,1573,1930,3,162900
443,3922,1258,2006,2,172500
444,8750,1908,1994,4,210000
445,9855,1689,1956,3,127500
446,16492,1888,1966,2,190000
447,11214,1886,1998,4,199900
448,8600,1376,1937,3,119500
449,6000,1183,1948,2,120000
450,5684,813,1930,2,110000
451,70761,1533,1975,2,280000
452,9303,1756,1996,3,204000
453,9000,1590,2008,3,210000
454,9297,1728,1976,4,188000
455,9600,1242,1973,3,175500
456,4571,1344,1916,4,98000
457,53227,1663,1954,2,256000
458,5100,1666,1925,3,161000
459,7015,1203,1950,3,110000
460,8004,1935,2009,3,263435
461,7200,1135,1936,3,155000
462,8281,864,1965,3,62383
463,11988,1660,1934,3,188700
464,8430,1040,1978,3,124000
465,3072,1414,2004,2,178740
466,10628,1277,1970,2,167000
467,9480,1644,1942,3,146500
468,11428,1634,2006,3,250000
469,9291,1710,1993,3,187000
470,6820,1502,1985,1,212000
471,11952,1969,1977,3,190000
472,3675,1072,2005,2,148000
473,14977,1976,2006,2,440000
474,5330,1652,2000,2,251000
475,8480,970,1963,2,132500
476,13125,1493,1997,3,208900
477,13693,2643,2006,3,380000
478,10637,1718,2007,3,297000
479,5925,1131,1937,2,89471
480,16033,1850,2004,3,326000
481,11846,1792,2003,2,374000
482,2500,1826,1915,4,155000
483,4500,1216,1998,2,164000
484,7758,999,1962,3,132500
485,9600,1113,1950,3,147000
486,10289,1073,1965,3,156000
487,12243,1484,1971,3,175000
488,10800,2414,1900,3,160000
489,1526,630,1970,1,86000
490,2665,1304,1976,3,115000
491,9490,1578,1941,3,133000
492,15578,1456,2006,3,172785
493,7931,1269,1960,3,155000
494,5784,886,1938,2,91300
495,7879,720,1920,2,34900
496,12692,3228,1992,4,430000
497,9120,1820,1925,4,184000
498,7800,899,1967,3,130000
499,7535,912,1958,2,120000
500,1890,1218,1973,3,113000
501,9803,1768,2005,3,226700
502,9170,1214,1965,2,140000
503,15602,1801,1959,1,289000
504,2308,1322,1974,3,147000
505,7596,1960,1952,4,124500
506,9554,1911,1993,3,215000
507,7862,1218,2009,2,208300
508,9600,1378,1928,3,161000
509,9600,1041,1959,3,124500
510,14559,1363,1951,2,164900
511,6792,1368,2005,2,202665
512,9100,864,1958,3,129900
513,9187,1080,1983,3,134000
514,10594,789,1926,2,96500
515,12220,2020,2009,3,402861
516,10448,2119,1972,3,158000
517,10208,2344,1996,3,265000
518,9531,1796,1998,3,211000
519,10918,2080,1926,3,234000
520,10800,1294,1900,3,106250
521,11988,1244,1957,3,150000
522,5000,1664,1947,3,159000
523,40094,4676,2007,3,184750
524,11787,2398,1996,3,315750
525,7500,1266,2005,3,176000
526,13300,928,1956,2,132000
527,14948,2713,2008,3,446261
528,9098,605,1920,2,86000
529,32668,2515,1957,4,200624
530,10200,1509,1988,3,175000
531,6155,1362,1920,3,128000
532,7200,827,1955,2,107500
533,5000,334,1946,1,39300
534,9056,1414,2004,3,178000
535,7000,1347,1910,3,107500
536,8924,1724,1998,3,188000
537,12735,864,1972,3,111250
538,11553,1159,1968,3,158000
539,11423,1601,2001,3,272000
540,14601,1838,2006,2,315000
541,11000,2285,2000,4,248000
542,10140,1680,1998,3,213250
543,4058,767,1998,1,133000
544,17104,1496,2006,3,179665
545,13837,2183,1988,4,229000
546,8737,1635,1923,3,210000
547,7244,768,1970,2,129500
548,8235,825,1955,2,125000
549,9375,2094,2003,4,263000
550,4043,1069,1977,2,140000
551,6000,928,1957,3,112500
552,11146,1717,2006,3,255500
553,8777,1126,1949,2,108000
554,10625,2046,2003,3,284000
555,6380,1048,1922,2,113000
556,14850,1092,1957,2,141000
557,11040,1336,1920,3,108000
558,21872,1446,1996,3,175000
559,3196,1557,2003,2,234000
560,11341,1392,1957,3,121500
561,10010,1389,1974,2,170000
562,13907,996,1940,3,108000
563,21780,1674,1918,4,185000
564,13346,2295,1992,4,268000
565,6858,1647,1915,4,128000
566,11198,2504,2005,4,325000
567,10171,1535,2004,3,214000
568,12327,2132,1983,1,316600
569,7032,943,1979,2,135960
570,13101,1728,1965,6,142600
571,7332,864,1959,2,120000
572,13159,1692,2009,3,224500
573,9967,1430,2000,3,170000
574,10500,1109,1971,3,139000
575,8480,1216,1947,2,118500
576,6292,1477,1928,3,145000
577,11777,1320,1966,3,164500
578,3604,1392,2007,2,146000
579,12150,1795,1954,4,131500
580,14585,1429,1960,3,181900
581,12704,2042,2008,3,253293
582,11841,816,1990,3,118500
583,13500,2775,1893,3,325000
584,6120,1573,1935,3,133000
585,11443,2028,2005,2,369900
586,10267,838,1918,2,130000
587,8740,860,1982,2,137000
588,25095,1473,1968,1,143000
589,9100,935,1930,2,79500
590,8320,1582,2004,3,185900
591,13478,2296,2008,3,451950
592,6600,816,1982,2,138000
593,4435,848,2003,1,140000
594,7990,924,1975,3,110000
595,11302,1826,2005,3,319000
596,3600,1368,1910,3,114504
597,3922,1402,2006,2,194201
598,12984,1647,1977,3,217500
599,1950,1556,1980,3,151000
600,10927,1904,2005,3,275000
601,9000,1375,1937,3,141000
602,10041,1915,1992,3,220000
603,3182,1200,2004,2,151000
604,12803,1494,2002,3,221000
605,13600,1986,1965,3,205000
606,12464,1040,1996,3,152000
607,7800,2008,1948,3,225000
608,12168,3194,1934,4,359100
609,7943,1029,1961,3,118500
610,11050,2153,2000,3,313000
611,10395,1032,1978,3,148000
612,11885,1872,2001,3,261500
613,8402,1120,2007,3,147000
614,1491,630,1972,1,75500
615,8800,1054,1963,3,137500
616,7861,1509,2002,3,183200
617,7227,832,1954,2,105500
618,11694,1828,2007,3,314813
619,12244,2262,2003,4,305000
620,8248,864,1914,2,67000
621,10800,2614,1974,4,240000
622,7064,980,1977,3,135000
623,2117,1512,2000,2,168500
624,10400,1790,1972,4,165150
625,10000,1116,1962,3,160000
626,12342,1422,1960,3,139900
627,9600,1520,1955,3,153000
628,11606,2080,1969,5,135000
629,9020,1350,1964,3,168500
630,9000,1750,1880,3,124000
631,4590,1554,2006,2,209500
632,11900,1411,1977,3,82500
633,9250,1056,1954,3,139400
635,10896,3395,1914,8,200000
636,6120,800,1936,1,60000
637,6000,1387,1954,3,93000
638,8777,796,1910,2,85000
639,3982,1567,2006,1,264561
640,12677,1518,2003,1,274000
641,7050,1929,2001,3,226000
642,13860,2704,1972,4,345000
643,10793,1620,1969,4,152000
644,9187,1766,2009,2,370878
645,10530,981,1971,3,143250
646,7200,1048,1950,3,98300
647,10452,1094,1953,3,155000
648,7700,1839,1966,4,155000
649,1936,630,1970,1,84500
650,8125,1665,2007,3,205950
651,9084,1510,1940,4,108000
652,8750,1716,1996,2,191000
653,10320,1469,1906,3,135000
654,10437,2113,1995,2,350000
655,1680,1092,1971,3,88000
656,10007,1053,1959,3,145500
657,7200,1502,1931,3,149000
658,17503,1458,1948,3,97500
659,9937,1486,1964,3,167000
660,12384,1935,1976,3,197900
661,46589,2448,1994,4,402000
662,13560,1392,1968,2,110000
663,10012,1181,1972,3,137500
664,20896,2097,2005,1,423000
665,11194,1936,2000,3,230500
666,18450,2380,1965,3,129000
667,8125,1679,1994,3,193500
668,14175,1437,1956,3,168000
669,11600,1180,1922,2,137500
670,8633,1476,2005,3,173500
671,6629,1369,1925,3,103600
672,11250,1208,1977,3,165000
673,14442,1839,1957,3,257500
674,9200,1136,1965,3,140000
675,2289,1441,1978,3,148500
676,9600,1774,1900,4,87000
677,9022,792,1924,2,109500
678,11844,2046,2008,3,372500
679,9945,988,1961,3,128500
680,8012,923,1980,2,143000
681,4500,1520,1932,3,159434
682,2887,1291,1996,2,173000
683,11248,1668,2002,3,285000
684,16770,1839,1998,4,221000
685,5062,2090,1984,3,207500
686,10207,1761,2007,3,227875
687,5105,1102,2004,2,148800
688,8089,1419,2007,2,392000
689,7577,1362,2005,2,194700
690,4426,848,2004,1,141000
691,21535,4316,1994,4,755000
692,26178,2519,1989,4,335000
693,5400,1073,1921,2,108480
694,6120,1539,1936,3,141500
695,13811,1137,1987,2,176000
696,6000,616,1921,2,89000
697,6420,1148,1952,2,123500
698,8450,894,1965,3,138500
699,4282,1391,2004,2,196000
700,14331,1800,2002,3,312500
701,9600,1164,1969,3,140000
702,12438,2576,2006,4,361919
703,7630,1812,1900,4,140000
704,8400,1484,2004,3,213000
705,5600,1092,1930,3,55000
706,115149,1824,1971,2,302000
707,6240,1324,2006,2,254000
708,9018,1456,2007,3,179540
709,7162,904,1966,3,109900
710,4130,729,1935,2,52000
711,8712,1178,1900,2,102776
712,4671,1228,1988,2,189000
713,9873,960,1970,3,129000
714,13517,1479,1976,3,130500
715,10140,1350,1974,3,165000
716,10800,2554,1890,3,159500
717,10000,1178,1973,3,157000
718,10542,2418,1993,3,341000
719,9920,971,1969,3,128500
720,6563,1742,1985,2,275000
721,4426,848,2004,1,143000
722,8120,864,1970,3,124500
723,8172,1470,1954,4,135000
724,13286,1698,2007,3,320000
725,6960,864,1970,3,120500
726,21695,1680,1988,3,222000
727,7314,1232,2007,2,194500
728,11475,1776,1958,4,110000
729,6240,1208,1925,2,103000
730,5389,1616,1995,2,236500
731,9590,1146,2003,3,187500
732,11404,2031,1998,3,222500
733,10000,1144,1961,3,131400
734,8978,948,1968,3,108000
735,10800,1768,1914,2,163000
736,8544,1040,1950,2,93500
737,10463,1801,2005,3,239900
738,10800,1200,1987,3,179000
